,title,authors,categories,description,average_rating,ratings_count
1994,tallchief,Cait London,Fiction,no description,4.12,47.0
1995,dr. desirable,Kristi Gold,Fiction,no description,3.24,19.0
1996,blame it on the blackout,Heidi Betts,Fiction,"Blame It On The Blackout by Heidi Betts released on Jun 07, 2005 is available now for purchase.",3.49,105.0
1997,bedded then wed,Heidi Betts,Fiction,"Wealthy rancher Mitch Ramsey had never given much of a second look to his neighbor Emma Davis, until an unexpected encounter led to a night of unbridled passion. Mitch figured their affair could be a discreet diversion, one they had both gone into with eyes wide-open. Then Emma's father made him an offer he couldn't refuse. Marry Emma and Mitch would inherit what he had always coveted--the entire Davis ranch. But Emma was never to know... .",3.41,101.0
1998,blackmailed into bed,Heidi Betts,Fiction,"Businessman Chase Ramsey's audacious terms should have offended her, but Elena Sanchez had no choice. To save her family's business, she'd have to become Chase's mistress. Chase had waited years to avenge what Elena had done to him. Now she'd have to play by his rules. But the ebony-haired beauty soon had him craving her like a starving man. Had his indecent proposal backfired?",3.38,107.0
1999,tell me no lies,Elizabeth Lowell,Fiction,Some of the world's most priceless artifacts are being smuggled from China into the U.S. An international crisis is about to explode unless a desperate trap to catch a thief succeeds. One woman is the key.,3.98,2188.0
2000,a lady at last,Brenda Joyce,Fiction,"After her father is sentenced to death, pirate's daughter Amanda Carre, searching for the mother she never knew, is escorted to London by notorious rake and gentleman privateer Cliff de Warenne, who transforms her into a lady and becomes her number one suitor. Original.",4.07,1518.0
2001,"the pirate, the adventurer & the cowboy",Jayne Ann Krentz,Fiction,Jayne Ann Krentz authors this collection of three romance favorites.,3.87,258.0
2002,call after midnight & under the knife,Tess Gerritsen,Fiction,"A ringing phone in the middle of the night shakes newlywed Sarah Fontaine awake. Expecting her husband's call from London she hears instead an unfamiliar voice. Nick O'Hara from the U.S. State Department is calling with devastating news: Geoffrey Fontaine, Sarah's husband of two months, died in a hotel fire ... in Berlin. Convinced her husband is still alive, Sarah forces a confrontation with Nick that finds them crisscrossing Europe on a desperate search for Geoffrey. Trying to stay one heartbeat ahead of a dangerous killer, they become quarry in the clandestine world of international espionage, risking everything for answers that may prove fatal.",4.0,244.0
2003,manhunting,Jennifer Crusie,Fiction,"After three failed engagements, Kate Svenson comes up with a definitive plan for finding the man of her dreams by snaring an eligible bachelor at The Cabins resort, but as her would-be swains begin to drop around her, Jake Templeton decides to save the world of men from this femme fatale.",3.77,13098.0
2004,reckless love,Elizabeth Lowell,Fiction,"Janna Wayland, the wild stallion Lucifer, and Ty MacKenzie, the stranger who had come for the stallion but stays to capture Janna's heart, join forces to escape from the steep mountains and canyons of the Utah Territory, where El Cascabel and his renegade warriors roam. Reissue.",3.78,1076.0
2005,the perfect score,Julie Kenner,Fiction,"Bad Girl Grading System A -- Totally bad!!! B -- Could be worse... C -- Wannabe territory D -- Way too nice! F -- Give it up, Mattie Brown! Mattie Brown has always prided herself at excelling at everything. And that's why it's killing her that she scored only 18% on a sex test! But she isn't going to take it lying down. (Well, maybe she will, but that's beside the point.) Her plan -- to proposition Cullen Slater, the neighborhood stud, for some hands-on instruction in how to make her sex life sizzle. Too bad it's her cute, nice-guy neighbor Mike Peterson who's lighting her fire... .",3.25,108.0
2006,elphame's choice,P. C. Cast,Fiction,"This follow-up to ""Goddess by Mistake"" returns to the ancient Greco-Roman civilization of Partholon. Marked from birth as belonging to the Goddess Epona, an isolated Elphame must confront her people's ancient enemies while on a journey of self-discovery.",4.02,3894.0
2007,winter moon,Mercedes Lackey;Tanith Lee;C. E. Murphy,Fiction,"As the moon rises, unimaginable power emerges in this collection of stories that includes Mercedes Lackey's ""Moontide,"" in which a young woman chooses to follow a Fool and discovers a magic that comes with a high price, as well as ""The Heart of the Moon"" by Tanith Lee and ""Banshee Cries"" by C. E. Murphy. Original.",3.78,2628.0
2008,brighid's quest,P. C. Cast,Fiction,"In this follow-up to ""Elphame's Choice,"" Brighid flees her centaur clan's rigid traditions and prejudice to find peace and acceptance among the humans of Clan MacCallan. When her family summons her home, Brighid must make a fateful decision.",4.14,3280.0
2009,shattered dance,Caitlin Brennan,Fiction,"Pregnant with Kerrec's child, Valeria, the first woman ever Called, must once again save the Aurelian Empire from its enemies and resist the call of the Unmaking in her soul, while Kerrec, torn between his love for Valeria and his duty to his family, is ordered to make a dynastic marriage to another. Original.",3.91,423.0
2010,sizzle,Jennifer Crusie,Fiction,"Business takes a back seat to romance when accountant Richard Parker encounters Emily Tate, an advertising executive running a new ad campaign for a sensual new perfume called Sizzle. Original.",3.09,655.0
2011,the foundling,Georgette Heyer,Fiction,The second of six special Georgette Heyer Collector Editions offered by Harlequin throughout 2003 features this hard-to-find Regency romance and a special Foreword by Kay Hooper. Reissue.,3.85,3599.0
2012,sylvester,Georgette Heyer,Fiction,"Proposing to the woman that he believes will complement his high position in life, the powerful Duke of Salford is scandalized when he learns that the sought-after maiden has written a romance novel that casts him as the villain. Reprint.",4.11,9626.0
2013,"and the envelope, please...",Barbara Bretton;Emilie Rose;Isabel Sharpe,Fiction,"Working behind the scenes at the I Love New York Film Festival, three heroines find unexpected romance in this quirky and lighthearted collection from bestselling authors.",3.57,7.0
2014,suddenly daddy,Loree Lough,Fiction,"Ciara and Mitch Mahoney were swept to the altar on a whirlwind courtship. But the honeymoon ws over when Ciara begged her new husband to quit his job as an FBI special agent. Then, without warning.",3.81,36.0
2015,seven sunny days,Chris Manby,Fiction,"Determined to have one last adventure before getting married, Rachel Buckley and her two best friends, Carrie Ann and Yaslyn, journey to Turkey where, while staying in an all-inclusive luxury hotel, they find their friendship sorely tested by anger, insecurities, and dark secrets. Original.",3.32,549.0
